product_sku,category_code,warehouse_code,quantity,transaction_type
SKU03897,CAT0507,WH0034,19,IN
SKU04961,CAT0718,WH0776,-5,OUT
SKU00375,CAT0712,WH0822,-8,OUT
SKU00015,CAT0618,WH0622,18,IN
SKU06270,CAT0126,WH0880,-9,OUT
SKU02328,CAT0559,WH0232,19,IN
SKU04804,CAT0968,WH0887,-15,OUT
SKU00263,CAT0769,WH0712,10,IN
SKU00290,CAT0824,WH0334,-5,OUT
SKU08858,CAT0232,WH0287,-7,OUT
SKU07634,CAT0638,WH0176,14,IN
SKU08831,CAT0549,WH0544,-13,OUT
SKU09159,CAT0124,WH0130,-8,OUT
SKU07911,CAT0411,WH0470,19,IN
SKU01967,CAT0270,WH0446,16,IN
SKU00810,CAT0237,WH0239,19,IN
SKU03059,CAT0950,WH0642,5,IN
SKU00805,CAT0910,WH0004,15,IN
SKU03499,CAT0372,WH0009,-16,OUT
SKU01652,CAT0519,WH0573,9,IN
SKU04367,CAT0709,WH0246,-13,OUT
SKU05774,CAT0316,WH0975,-6,OUT
SKU01910,CAT0792,WH0807,-8,OUT
SKU08928,CAT0167,WH0707,-10,OUT
SKU09814,CAT0696,WH0602,14,IN
SKU08718,CAT0270,WH0248,-17,OUT
SKU05551,CAT0456,WH0771,-7,OUT
SKU01431,CAT0466,WH0253,18,IN
SKU03596,CAT0995,WH0073,10,IN
SKU09357,CAT0841,WH0031,-18,OUT
SKU04520,CAT0778,WH0080,10,IN
SKU03245,CAT0257,WH0177,15,IN
SKU04981,CAT0653,WH0594,19,IN
SKU06532,CAT0617,WH0253,-15,OUT
SKU02076,CAT0125,WH0402,17,IN
SKU09058,CAT0845,WH0115,-11,OUT
SKU04321,CAT0162,WH0309,-1,OUT
SKU01147,CAT0129,WH0398,20,IN
SKU01496,CAT0157,WH0668,-4,OUT
SKU06128,CAT0818,WH0921,18,IN
SKU06666,CAT0329,WH0567,-8,OUT
SKU06268,CAT0763,WH0726,12,IN
SKU02788,CAT0318,WH0770,-12,OUT
SKU05075,CAT0602,WH0733,-2,OUT
SKU05865,CAT0795,WH0315,-13,OUT
SKU05642,CAT0501,WH0189,-3,OUT
SKU04594,CAT0844,WH0815,-8,OUT
SKU07989,CAT0908,WH0355,-6,OUT
SKU04580,CAT0274,WH0952,-11,OUT
SKU04597,CAT0808,WH0203,2,IN
SKU00753,CAT0007,WH0146,-4,OUT
SKU01200,CAT0190,WH0777,6,IN
SKU00987,CAT0231,WH0327,19,IN
SKU02194,CAT0594,WH0216,-7,OUT
SKU09913,CAT0135,WH0536,-11,OUT
SKU06885,CAT0459,WH0352,-1,OUT
SKU09082,CAT0973,WH0978,10,IN
SKU08973,CAT0049,WH0836,-14,OUT
SKU05265,CAT0678,WH0308,-19,OUT
SKU02386,CAT0291,WH0870,1,IN
SKU06571,CAT0120,WH0948,-8,OUT
SKU02518,CAT0359,WH0146,3,IN
SKU00759,CAT0068,WH0166,19,IN
SKU04746,CAT0109,WH0998,-18,OUT
SKU04524,CAT0703,WH0829,-6,OUT
SKU00721,CAT0804,WH0080,-1,OUT
SKU08355,CAT0411,WH0643,-12,OUT
SKU04238,CAT0604,WH0116,1,IN
SKU00288,CAT0028,WH0577,5,IN
SKU01035,CAT0713,WH0058,-8,OUT
SKU03885,CAT0619,WH0054,20,IN
SKU00264,CAT0158,WH0170,-2,OUT
SKU04059,CAT0334,WH0083,16,IN
SKU09763,CAT0483,WH0577,-17,OUT
SKU02318,CAT0740,WH0536,-15,OUT
SKU06825,CAT0093,WH0646,10,IN
SKU06630,CAT0446,WH0541,13,IN
SKU01685,CAT0633,WH0835,-11,OUT
SKU09801,CAT0378,WH0964,-1,OUT
SKU06026,CAT0089,WH0039,-9,OUT
SKU01865,CAT0148,WH0015,6,IN
SKU05541,CAT0395,WH0207,-5,OUT
SKU00070,CAT0741,WH0129,-18,OUT
SKU02195,CAT0254,WH0276,-8,OUT
SKU05134,CAT0276,WH0433,-14,OUT
SKU02304,CAT0320,WH0237,-20,OUT
SKU08299,CAT0322,WH0344,-5,OUT
SKU05447,CAT0488,WH0397,-8,OUT
SKU07123,CAT0257,WH0158,18,IN
SKU08558,CAT0781,WH0932,-6,OUT
SKU01677,CAT0983,WH0542,-18,OUT
SKU02005,CAT0899,WH0610,3,IN
SKU05045,CAT0411,WH0416,-5,OUT
SKU05337,CAT0925,WH0300,8,IN
SKU03916,CAT0430,WH0966,-20,OUT
SKU02014,CAT0793,WH0997,4,IN
SKU04555,CAT0317,WH0487,-4,OUT
SKU04291,CAT0763,WH0461,-8,OUT
SKU05142,CAT0981,WH0702,1,IN
SKU07719,CAT0502,WH0023,-10,OUT
SKU02963,CAT0092,WH0101,-11,OUT
SKU03177,CAT0752,WH0595,9,IN
SKU04945,CAT0812,WH0128,18,IN
SKU00835,CAT0828,WH0796,15,IN
SKU06365,CAT0350,WH0974,12,IN
SKU09590,CAT0872,WH0645,1,IN
SKU07670,CAT0614,WH0658,16,IN
SKU01474,CAT0484,WH0313,15,IN
SKU06901,CAT0921,WH0277,17,IN
SKU04260,CAT0828,WH0100,-6,OUT
SKU03651,CAT0139,WH0146,3,IN
SKU00035,CAT0669,WH0770,-7,OUT
SKU06411,CAT0271,WH0054,-19,OUT
SKU01044,CAT0944,WH0855,-8,OUT
SKU09035,CAT0014,WH0540,-17,OUT
SKU06852,CAT0462,WH0628,1,IN
SKU07699,CAT0608,WH0883,15,IN
SKU08277,CAT0051,WH0421,-7,OUT
SKU06952,CAT0855,WH0661,-14,OUT
SKU07758,CAT0080,WH0842,14,IN
SKU02782,CAT0951,WH0926,-11,OUT
SKU00743,CAT0558,WH0865,-6,OUT
SKU07395,CAT0228,WH0014,5,IN
SKU09181,CAT0806,WH0626,-15,OUT
SKU09493,CAT0927,WH0111,7,IN
SKU00881,CAT0733,WH0078,9,IN
SKU09907,CAT0712,WH0265,9,IN
SKU00566,CAT0485,WH0262,14,IN
SKU04313,CAT0463,WH0431,-10,OUT
SKU01322,CAT0972,WH0270,-5,OUT
SKU00444,CAT0349,WH0745,20,IN
SKU06155,CAT0761,WH0608,5,IN
SKU09079,CAT0123,WH0485,16,IN
SKU09806,CAT0640,WH0260,6,IN
SKU02155,CAT0623,WH0708,-1,OUT
SKU04043,CAT0434,WH0914,4,IN
SKU02567,CAT0630,WH0297,-8,OUT
SKU02275,CAT0714,WH0577,-9,OUT
SKU02963,CAT0092,WH0393,19,IN
SKU05796,CAT0902,WH0420,14,IN
SKU07341,CAT0161,WH0728,-5,OUT
SKU05097,CAT0056,WH0990,4,IN
SKU06198,CAT0797,WH0723,3,IN
SKU07703,CAT0730,WH0408,-18,OUT
SKU01829,CAT0031,WH0831,19,IN
SKU00006,CAT0526,WH0367,7,IN
SKU04622,CAT0649,WH0049,-17,OUT
SKU00576,CAT0641,WH0701,-19,OUT
SKU02691,CAT0191,WH0344,-9,OUT
SKU02164,CAT0227,WH0418,7,IN
SKU09017,CAT0144,WH0305,18,IN
SKU08786,CAT0222,WH0015,10,IN
SKU09672,CAT0567,WH0687,12,IN
SKU06138,CAT0299,WH0052,-10,OUT
SKU04531,CAT0841,WH0832,6,IN
SKU05056,CAT0477,WH0263,-5,OUT
SKU05957,CAT0464,WH0512,1,IN
SKU04981,CAT0653,WH0401,19,IN
SKU00514,CAT0271,WH0217,-3,OUT
SKU01630,CAT0519,WH0421,8,IN
SKU09299,CAT0161,WH0495,14,IN
SKU00499,CAT0071,WH0391,20,IN
SKU00752,CAT0510,WH0232,-6,OUT
SKU00727,CAT0961,WH0806,-18,OUT
SKU03313,CAT0056,WH0117,8,IN
SKU07239,CAT0488,WH0644,-13,OUT
SKU01602,CAT0755,WH0968,-18,OUT
SKU01849,CAT0718,WH0684,-18,OUT
SKU05365,CAT0095,WH0879,15,IN
SKU05771,CAT0397,WH0426,8,IN
SKU09252,CAT0209,WH0390,-10,OUT
SKU04599,CAT0807,WH0787,-7,OUT
SKU04169,CAT0131,WH0420,4,IN
SKU00373,CAT0678,WH0488,12,IN
SKU00365,CAT0518,WH0109,16,IN
SKU00365,CAT0518,WH0037,10,IN
SKU04848,CAT0676,WH0661,15,IN
SKU06956,CAT0054,WH0315,-19,OUT
SKU06707,CAT0402,WH0824,16,IN
SKU07039,CAT0944,WH0898,-15,OUT
SKU00075,CAT0369,WH0657,9,IN
SKU03991,CAT0315,WH0932,4,IN
SKU08645,CAT0855,WH0320,-1,OUT
SKU07757,CAT0659,WH0145,3,IN
SKU07874,CAT0258,WH0097,-6,OUT
SKU04850,CAT0205,WH0221,-8,OUT
SKU06701,CAT0082,WH0593,20,IN
SKU09323,CAT0232,WH0331,18,IN
SKU02636,CAT0064,WH0316,-4,OUT
SKU06505,CAT0050,WH0676,9,IN
SKU01109,CAT0658,WH0238,-14,OUT
SKU00516,CAT0103,WH0914,12,IN
SKU04010,CAT0588,WH0731,17,IN
SKU01559,CAT0179,WH0839,20,IN
SKU09934,CAT0424,WH0543,8,IN
SKU05040,CAT0676,WH0324,18,IN
SKU07952,CAT0971,WH0533,-4,OUT
SKU06072,CAT0320,WH0133,-19,OUT
SKU05919,CAT0916,WH0402,4,IN
SKU09284,CAT0735,WH0698,20,IN
SKU03027,CAT0617,WH0531,-15,OUT
SKU06681,CAT0136,WH0860,18,IN
SKU01630,CAT0519,WH0887,-9,OUT
SKU07535,CAT0017,WH0443,11,IN
SKU06455,CAT0220,WH0153,-3,OUT
SKU05543,CAT0754,WH0469,19,IN
SKU01493,CAT0135,WH0026,16,IN
SKU06319,CAT0553,WH0285,-6,OUT
SKU06660,CAT0200,WH0651,17,IN
SKU03038,CAT0416,WH0271,-17,OUT
SKU07387,CAT0635,WH0368,-16,OUT
SKU09153,CAT0167,WH0402,16,IN
SKU02202,CAT0377,WH0843,6,IN
SKU05834,CAT0657,WH0006,9,IN
SKU04174,CAT0218,WH0464,13,IN
SKU08251,CAT0022,WH0003,-7,OUT
SKU02099,CAT0928,WH0542,8,IN
SKU06948,CAT0003,WH0256,6,IN
SKU05978,CAT0005,WH0179,-17,OUT
SKU05736,CAT0263,WH0534,6,IN
SKU08792,CAT0445,WH0337,11,IN
SKU03904,CAT0429,WH0899,-2,OUT
SKU04305,CAT0458,WH0383,5,IN
SKU02811,CAT0697,WH0240,-6,OUT
SKU09544,CAT0839,WH0887,15,IN
SKU09735,CAT0837,WH0992,-20,OUT
SKU00137,CAT0690,WH0222,8,IN
SKU04004,CAT0619,WH0262,8,IN
SKU04223,CAT0992,WH0811,11,IN
SKU07201,CAT0610,WH0160,14,IN
SKU07151,CAT0819,WH0445,-7,OUT
SKU06659,CAT0843,WH0614,-7,OUT
SKU06592,CAT0379,WH0552,-17,OUT
SKU09155,CAT0001,WH0760,-3,OUT
SKU01311,CAT0595,WH0588,-18,OUT
SKU08947,CAT0063,WH0753,-13,OUT
SKU00900,CAT0217,WH0102,-8,OUT
SKU06133,CAT0171,WH0980,-7,OUT
SKU08430,CAT0479,WH0598,7,IN
SKU07407,CAT0093,WH0325,-18,OUT
SKU07996,CAT0077,WH0410,-6,OUT
SKU02113,CAT0179,WH0061,-19,OUT
SKU00452,CAT0274,WH0012,20,IN
SKU03822,CAT0363,WH0553,-5,OUT
SKU00254,CAT0476,WH0845,-3,OUT
SKU07543,CAT0499,WH0756,14,IN
SKU09009,CAT0659,WH0909,-15,OUT
SKU01290,CAT0039,WH0883,-10,OUT
SKU06813,CAT0368,WH0536,-17,OUT
SKU02645,CAT0307,WH0272,-16,OUT
SKU06918,CAT0803,WH0703,14,IN
SKU09684,CAT0712,WH0408,14,IN
SKU03712,CAT0217,WH0352,-5,OUT
SKU07479,CAT0130,WH0405,19,IN
SKU02544,CAT0278,WH0208,8,IN
SKU05904,CAT0833,WH0743,-14,OUT
SKU08341,CAT0883,WH0863,-5,OUT
SKU02583,CAT0338,WH0370,-10,OUT
SKU07584,CAT0882,WH0929,17,IN
SKU01558,CAT0132,WH0083,17,IN
SKU02250,CAT0745,WH0328,-19,OUT
SKU03629,CAT0198,WH0338,6,IN
SKU06272,CAT0967,WH0839,-13,OUT
SKU01304,CAT0627,WH0927,17,IN
SKU09157,CAT0299,WH0864,5,IN
SKU05769,CAT0986,WH0841,-16,OUT
SKU04461,CAT0852,WH0219,-5,OUT
SKU05063,CAT0075,WH0580,2,IN
SKU00969,CAT0546,WH0145,4,IN
SKU05114,CAT0055,WH0199,16,IN
SKU06324,CAT0050,WH0063,-11,OUT
SKU05344,CAT0275,WH0842,-4,OUT
SKU00594,CAT0358,WH0847,-6,OUT
SKU01643,CAT0557,WH0843,-13,OUT
SKU08903,CAT0479,WH0684,14,IN
SKU06710,CAT0240,WH0537,-16,OUT
SKU00195,CAT0327,WH0217,-12,OUT
SKU01279,CAT0336,WH0115,-13,OUT
SKU05142,CAT0981,WH0885,18,IN
SKU02627,CAT0999,WH0922,-16,OUT
SKU00192,CAT0796,WH0524,5,IN
SKU03170,CAT0393,WH0459,14,IN
SKU09243,CAT0960,WH0911,4,IN
SKU07992,CAT0793,WH0122,-8,OUT
SKU07183,CAT0496,WH0628,20,IN
SKU00208,CAT0499,WH0227,-10,OUT
SKU00222,CAT0849,WH0620,10,IN
SKU02034,CAT0728,WH0482,11,IN
SKU09610,CAT0939,WH0198,8,IN
SKU07336,CAT0550,WH0330,15,IN
SKU04011,CAT0015,WH0371,-17,OUT
SKU03210,CAT0564,WH0652,7,IN
SKU06720,CAT0079,WH0335,-8,OUT
SKU07248,CAT0470,WH0333,-17,OUT
SKU02211,CAT0451,WH0547,1,IN
SKU03540,CAT0782,WH0870,-12,OUT
SKU06940,CAT0423,WH0038,19,IN
SKU08815,CAT0893,WH0154,-18,OUT
SKU01680,CAT0532,WH0591,17,IN
SKU04922,CAT0745,WH0558,-6,OUT
SKU00673,CAT0140,WH0969,20,IN
SKU06397,CAT0957,WH0081,-7,OUT
SKU07597,CAT0772,WH0032,-4,OUT
SKU08275,CAT0690,WH0637,-19,OUT
SKU08971,CAT0918,WH0263,16,IN
SKU03290,CAT0415,WH0695,5,IN
SKU03257,CAT0197,WH0178,7,IN
SKU01609,CAT0077,WH0190,-11,OUT
SKU04562,CAT0520,WH0347,9,IN
SKU03235,CAT0118,WH0487,19,IN
SKU02627,CAT0999,WH0715,-12,OUT
SKU03688,CAT0367,WH0151,7,IN
SKU00346,CAT0542,WH0556,18,IN
SKU07455,CAT0153,WH0940,5,IN
SKU09999,CAT0272,WH0333,-11,OUT
SKU06829,CAT0315,WH0678,2,IN
SKU06826,CAT0362,WH0160,-15,OUT
SKU02230,CAT0743,WH0353,12,IN
SKU04988,CAT0612,WH0891,-1,OUT
SKU02133,CAT0891,WH0441,20,IN
SKU06765,CAT0551,WH0004,-18,OUT
SKU00676,CAT0008,WH0813,-16,OUT
SKU08560,CAT0620,WH0168,-12,OUT
SKU01329,CAT0317,WH0071,14,IN
SKU03080,CAT0026,WH0959,-20,OUT
SKU08256,CAT0112,WH0059,-10,OUT
SKU01204,CAT0822,WH0131,-18,OUT
SKU05975,CAT0111,WH0653,-18,OUT
SKU01888,CAT0531,WH0592,-4,OUT
SKU06050,CAT0498,WH0942,13,IN
SKU06310,CAT0895,WH0134,8,IN
SKU00529,CAT0313,WH0826,12,IN
SKU02335,CAT0241,WH0589,7,IN
SKU02403,CAT0354,WH0548,13,IN
SKU07171,CAT0076,WH0135,1,IN
SKU03772,CAT0769,WH0289,-20,OUT
SKU05068,CAT0438,WH0074,17,IN
SKU07808,CAT0380,WH0138,6,IN
SKU09895,CAT0070,WH0293,19,IN
SKU05164,CAT0950,WH0857,5,IN
SKU08621,CAT0472,WH0212,-5,OUT
SKU03073,CAT0295,WH0496,-3,OUT
SKU08866,CAT0453,WH0382,-1,OUT
SKU08425,CAT0809,WH0615,13,IN
SKU08743,CAT0190,WH0560,-19,OUT
SKU09334,CAT0422,WH0578,-18,OUT
SKU02285,CAT0294,WH0392,1,IN
SKU08108,CAT0603,WH0276,8,IN
SKU01869,CAT0383,WH0459,-10,OUT
SKU06158,CAT0770,WH0959,16,IN
SKU02300,CAT0425,WH0763,14,IN
SKU03624,CAT0149,WH0233,-13,OUT
SKU04991,CAT0857,WH0494,19,IN
SKU00749,CAT0957,WH0264,7,IN
SKU04645,CAT0899,WH0842,-18,OUT
SKU01269,CAT0036,WH0171,16,IN
SKU06824,CAT0070,WH0755,5,IN
SKU07655,CAT0995,WH0894,15,IN
SKU04168,CAT0976,WH0629,-12,OUT
SKU00207,CAT0774,WH0849,-6,OUT
SKU04396,CAT0734,WH0583,-14,OUT
SKU00476,CAT0782,WH0067,1,IN
SKU02487,CAT0023,WH0389,14,IN
SKU08241,CAT0907,WH0014,-14,OUT
SKU08031,CAT0076,WH0229,16,IN
SKU09518,CAT0626,WH0449,5,IN
SKU02683,CAT0012,WH0836,-13,OUT
SKU09951,CAT0164,WH0685,3,IN
SKU04205,CAT0118,WH0590,-20,OUT
SKU07752,CAT0382,WH0549,-16,OUT
SKU09370,CAT0033,WH0957,11,IN
SKU06261,CAT0602,WH0437,14,IN
SKU04219,CAT0753,WH0723,-11,OUT
SKU05914,CAT0094,WH0063,-10,OUT
SKU05674,CAT0719,WH0777,14,IN
SKU03543,CAT0100,WH0902,8,IN
SKU04230,CAT0868,WH0708,-12,OUT
SKU04520,CAT0778,WH0939,-2,OUT
SKU06247,CAT0373,WH0787,-13,OUT
SKU07910,CAT0940,WH0456,-20,OUT
SKU08155,CAT0760,WH0072,16,IN
SKU02967,CAT0390,WH0021,19,IN
SKU08135,CAT0503,WH0816,-7,OUT
SKU03302,CAT0670,WH0588,-9,OUT
SKU02705,CAT0587,WH0254,-14,OUT
SKU02577,CAT0578,WH0079,14,IN
SKU08800,CAT0528,WH0909,-11,OUT
SKU09205,CAT0751,WH0099,-9,OUT
SKU01821,CAT0139,WH0401,17,IN
SKU06435,CAT0139,WH0846,-5,OUT
SKU04354,CAT0049,WH0283,-4,OUT
SKU08711,CAT0686,WH0186,13,IN
SKU05477,CAT0328,WH0388,-19,OUT
SKU02624,CAT0062,WH0948,-17,OUT
SKU00200,CAT0299,WH0759,20,IN
SKU04018,CAT0510,WH0515,-14,OUT
SKU00735,CAT0585,WH0348,4,IN
SKU07296,CAT0081,WH0228,-6,OUT
SKU00422,CAT0176,WH0411,-9,OUT
SKU08452,CAT0712,WH0906,-18,OUT
SKU08445,CAT0655,WH0506,19,IN
SKU06255,CAT0708,WH0973,-14,OUT
SKU02022,CAT0843,WH0681,3,IN
SKU05525,CAT0167,WH0146,2,IN
SKU03110,CAT0863,WH0462,9,IN
SKU09220,CAT0270,WH0154,-2,OUT
SKU09976,CAT0374,WH0432,-6,OUT
SKU00870,CAT0025,WH0590,18,IN
SKU06428,CAT0005,WH0282,11,IN
SKU01448,CAT0446,WH0523,7,IN
SKU02910,CAT0327,WH0755,14,IN
SKU05559,CAT0796,WH0699,-7,OUT
SKU06665,CAT0373,WH0770,-7,OUT
SKU07549,CAT0921,WH0843,9,IN
SKU02499,CAT0963,WH0352,-6,OUT
SKU07063,CAT0627,WH0506,-8,OUT
SKU02928,CAT0815,WH0786,-12,OUT
SKU02378,CAT0861,WH0330,-2,OUT
SKU07164,CAT0658,WH0300,-1,OUT
SKU06426,CAT0932,WH0451,7,IN
SKU05276,CAT0450,WH0755,-12,OUT
SKU08468,CAT0889,WH0239,-9,OUT
SKU07683,CAT0960,WH0708,18,IN
SKU05611,CAT0906,WH0482,20,IN
SKU07685,CAT0528,WH0602,18,IN
SKU03033,CAT0022,WH0898,-9,OUT
SKU09623,CAT0066,WH0925,2,IN
SKU08547,CAT0967,WH0936,-17,OUT
SKU00611,CAT0985,WH0300,-11,OUT
SKU02345,CAT0263,WH0923,-2,OUT
SKU02930,CAT0558,WH0843,-6,OUT
SKU06072,CAT0320,WH0166,18,IN
SKU00974,CAT0688,WH0963,-18,OUT
SKU03536,CAT0452,WH0576,-17,OUT
SKU05731,CAT0314,WH0227,2,IN
SKU07038,CAT0156,WH0371,11,IN
